Epoch,Batch Size,LR_max,LR_min,Dropout,Accuracy
200,256,0.0002,0.000001,0.0000,0.9851
200,1024,0.0002,0.000001,0.0000,0.9850
200,512,0.0002,0.000001,0.0000,0.9849
200,256,0.0001,0.000001,0.0000,0.9846
200,512,0.0001,0.000001,0.0000,0.9842
200,512,0.0005,0.000001,0.0000,0.9835
200,1024,0.0001,0.000001,0.0000,0.9827
200,1024,0.0005,0.000001,0.0000,0.9826
200,256,0.0005,0.000001,0.0000,0.9817
200,512,0.0010,0.000001,0.0000,0.8243
200,1024,0.0010,0.000001,0.0000,0.7490
200,256,0.0010,0.000001,0.0000,0.1002
