Epoch,Batch Size,LR_max,LR_min,Dropout,Accuracy
100,64,0.0005,0.000001,0.1000,0.9353
100,64,0.0005,0.000010,0.1000,0.9352
100,64,0.0005,0.000001,0.0500,0.9350
100,64,0.0010,0.000001,0.0000,0.9348
100,64,0.0005,0.000010,0.0000,0.9342
100,64,0.0005,0.000010,0.0500,0.9339
100,64,0.0010,0.000001,0.1000,0.9336
100,64,0.0010,0.000001,0.0500,0.9333
100,64,0.0010,0.000010,0.0500,0.9332
100,64,0.0010,0.000010,0.0000,0.9330
100,64,0.0010,0.000010,0.1000,0.9330
100,64,0.0005,0.000001,0.0000,0.9317
