Epoch,Batch Size,LR_max,LR_min,Dropout,Accuracy
200,1024,0.0005,0.000001,0.0000,0.8772
200,512,0.0001,0.000001,0.0000,0.8767
200,256,0.0002,0.000001,0.0000,0.8764
200,512,0.0005,0.000001,0.0000,0.8747
200,256,0.0001,0.000001,0.0000,0.8732
200,512,0.0002,0.000001,0.0000,0.8731
200,1024,0.0002,0.000001,0.0000,0.8713
200,1024,0.0001,0.000001,0.0000,0.8648
200,1024,0.0010,0.000001,0.0000,0.8641
200,256,0.0005,0.000001,0.0000,0.8583
200,512,0.0010,0.000001,0.0000,0.8508
200,256,0.0010,0.000001,0.0000,0.8466
